filename,weather,style
image_10realistic_rainy.png,rainy,realistic
image_11realistic_rainy.png,rainy,realistic
image_12realistic_rainy.png,rainy,realistic
image_13realistic_rainy.png,rainy,realistic
image_14realistic_rainy.png,rainy,realistic
image_15realistic_rainy.png,rainy,realistic
image_16realistic_rainy.png,rainy,realistic
image_17realistic_rainy.png,rainy,realistic
image_19realistic_rainy.png,rainy,realistic
image_20realistic_rainy.png,rainy,realistic
image_21realistic_rainy.png,rainy,realistic
image_22realistic_rainy.png,rainy,realistic
image_23realistic_rainy.png,rainy,realistic
image_24realistic_rainy.png,rainy,realistic
image_25realistic_rainy.png,rainy,realistic
image_26realistic_rainy.png,rainy,realistic
image_27realistic_rainy.png,rainy,realistic
image_28realistic_rainy.png,rainy,realistic
image_29realistic_rainy.png,rainy,realistic
image_30realistic_rainy.png,rainy,realistic
image_31realistic_rainy.png,rainy,realistic
image_32realistic_rainy.png,rainy,realistic
image_33realistic_rainy.png,rainy,realistic
image_34realistic_rainy.png,rainy,realistic
image_35realistic_rainy.png,rainy,realistic
image_36realistic_rainy.png,rainy,realistic
image_37realistic_rainy.png,rainy,realistic
image_38realistic_rainy.png,rainy,realistic
image_39realistic_rainy.png,rainy,realistic
image_40realistic_rainy.png,rainy,realistic
image_41realistic_rainy.png,rainy,realistic
image_45realistic_rainy.png,rainy,realistic
image_46realistic_rainy.png,rainy,realistic
image_48realistic_rainy.png,rainy,realistic
image_49realistic_rainy.png,rainy,realistic
image_50realistic_rainy.png,rainy,realistic
image_01realistic_sunny.png,sunny,realistic
image_02realistic_sunny.png,sunny,realistic
image_03realistic_sunny.png,sunny,realistic
image_04realistic_sunny.png,sunny,realistic
image_05realistic_sunny.png,sunny,realistic
image_06realistic_sunny.png,sunny,realistic
image_07realistic_sunny.png,sunny,realistic
image_09realistic_sunny.png,sunny,realistic
image_10realistic_sunny.png,sunny,realistic
image_11realistic_sunny.png,sunny,realistic
image_12realistic_sunny.png,sunny,realistic
image_13realistic_sunny.png,sunny,realistic
image_14realistic_sunny.png,sunny,realistic
image_15realistic_sunny.png,sunny,realistic
image_17realistic_sunny.png,sunny,realistic
image_18realistic_sunny.png,sunny,realistic
image_19realistic_sunny.png,sunny,realistic
image_20realistic_sunny.png,sunny,realistic
image_22realistic_sunny.png,sunny,realistic
image_23realistic_sunny.png,sunny,realistic
image_24realistic_sunny.png,sunny,realistic
image_25realistic_sunny.png,sunny,realistic
image_26realistic_sunny.png,sunny,realistic
image_27realistic_sunny.png,sunny,realistic
image_28realistic_sunny.png,sunny,realistic
image_29realistic_sunny.png,sunny,realistic
image_30realistic_sunny.png,sunny,realistic
image_31realistic_sunny.png,sunny,realistic
image_33realistic_sunny.png,sunny,realistic
image_35realistic_sunny.png,sunny,realistic
image_36realistic_sunny.png,sunny,realistic
image_37realistic_sunny.png,sunny,realistic
image_40realistic_sunny.png,sunny,realistic
image_43realistic_sunny.png,sunny,realistic
image_44realistic_sunny.png,sunny,realistic
image_45realistic_sunny.png,sunny,realistic
image_47realistic_sunny.png,sunny,realistic
image_48realistic_sunny.png,sunny,realistic
image_50realistic_sunny.png,sunny,realistic
